Address,Function,Instruction
.text:00000001801659D3,ZwThawRegistry, 1D4h
.text:00000001801659F3,ZwThawTransactions, 1D5h
.text:0000000180165A13,NtTraceControl, 1D6h
.text:0000000180165A33,NtTranslateFilePath, 1D7h
.text:0000000180165A53,ZwUmsThreadYield, 1D8h
.text:0000000180165A73,ZwUnloadDriver, 1D9h
.text:0000000180165A93,NtUnloadKey, 1DAh
.text:0000000180165AB3,NtUnloadKey2, 1DBh
.text:0000000180165AD3,ZwUnloadKeyEx, 1DCh
.text:0000000180165AF3,ZwUnlockFile, 1DDh
.text:0000000180165B13,ZwUnlockVirtualMemory, 1DEh
.text:0000000180165B33,NtUnmapViewOfSectionEx, 1DFh
